start,end,text
2.28035,2.40044,In
2.40044,2.54054, this
2.6206,2.9008000000000003, lesson
2.94083,3.0609200000000003, we're
3.0609200000000003,3.18101, going
3.18101,3.26107, to
3.28108,3.62133, focus
3.7414199999999997,3.8615000000000004, on
4.20175,4.542, alkali
4.60205,4.98232, metals.
5.9630399999999995,6.28327, Alkali
6.30329,6.56348, metals
6.583489999999999,6.70358, can
6.70358,6.82367, be
6.84368,7.1438999999999995, found
7.284,7.40409, in
7.60424,7.72432, the
7.80438,8.04456, first
8.1046,8.50489, column
9.0653,9.18539, of
9.22542,9.34551, the
9.36552,9.76581, periodic
9.80584,10.146090000000001, table.
11.82732,11.987440000000001, Now
12.107520000000001,12.527830000000002, listed
13.42849,13.56859, are
13.688680000000002,13.948870000000001, some
14.42922,15.069690000000001, properties
15.44996,15.57005, of
15.650110000000002,15.97034, alkali
16.010369999999998,16.370639999999998, metals.
16.91103,17.09116, Like
17.63156,17.75164, all
17.79167,18.13192, metals
18.17195,18.29204, they
18.33207,18.45215, can
18.5122,18.89248, conduct
19.01256,19.23272, heat
19.4729,19.59299, and
19.613,20.11337, electricity.
21.814610000000002,22.09481, Alkali
22.11483,22.355, metals
22.37502,22.47509, are
22.49511,22.675240000000002, very
22.81534,23.1756, soft.
23.59591,23.776040000000002, They're
23.776040000000002,23.89613, so
23.97619,24.21636, soft
24.23638,24.356460000000002, that
24.33645,24.416510000000002, you
24.43652,24.55661, can
24.61665,24.79679, cut
24.8168,24.936890000000002, them
24.9569,25.076990000000002, with
25.076990000000002,25.17706, a
25.19708,25.53733, knife
26.27787,26.43798, which
26.458000000000002,26.57809, is
26.61812,26.75822, not
26.83828,27.19854, typical
27.398690000000002,27.5588, of
27.839010000000002,28.01914, many
28.0992,28.43944, metals.
29.86031,29.98039, They
30.020419999999998,30.260579999999997, also
30.340639999999997,30.480729999999998, have
30.480729999999998,30.560779999999998, a
30.60081,30.720889999999997, low
30.84097,31.22123, density.
32.52211,32.64219, For
32.70223,33.06247," instance,"
33.12252,33.5428, lithium
34.32333,34.50345, is
34.62353,34.80365, less
34.88371,35.143879999999996, dense
35.163889999999995,35.28398, than
35.38404,35.64422, water.
36.76498,37.06518, Lithium
37.12522,37.26531, can
37.3854,37.805679999999995, actually
38.08587,38.4261, float
